"","F1","F2","F5","F6","F7","F10","F11","F12","F13","F14","F15","F18","F19","F20","F22","F23","F26","F27","F28","F29","F30","F31","F34","F35","F36","F37","F38","F39","F42","F43","F44","F46","F47","F50","F51","F52","F53","F54","F55","F58","F59","F60","F61","F62","F63","F66","F67","F68","F69","F70","F71","F74","F75","F76","F77","F78","F79","F82","F83","F84","F85","F86","F87","F90","F91","F92","F93","F94","F96"
"P26038",332044.939189648,218437.15369411,246637.51523745,144307.05056059,158820.708473856,218445.665658991,194415.198891854,83160.1982692857,156284.08854719,177552.774942463,242674.792141558,201795.645973892,231917.798284801,152378.361458498,150639.63924586,185520.171773941,236640.371859214,302889.622007054,273383.149165021,214661.381685391,196806.37575943,285321.635150168,384081.142224284,144290.877337655,165309.794709107,149772.344045966,180747.480469266,278572.946944718,212168.163901083,214100.418908046,217497.704365412,175351.241379256,120297.974421042,156472.649955697,229996.985141346,314941.520836688,178061.61971333,189466.927065061,135227.224049577,208932.201764531,223023.838294669,225258.568470478,183310.62113436,175084.07809355,271459.401334832,325417.875449431,303988.503790315,209539.688009626,213215.187299958,200051.813891951,254953.178455948,113849.311316473,167256.192088946,209234.833642272,261224.525789495,198517.795950233,185135.460828592,205741.633905327,337290.736297333,183790.469468355,268824.030446476,350746.585227657,272601.28020449,189922.436686972,276282.213550206,239287.604523609,232327.758434944,287971.324674154,186578.492234686
"P78527",173553.430579196,207376.858765585,177865.858556529,193130.59242203,197060.794642986,95046.2709765492,213905.244938659,113689.597794718,153054.592307914,195097.590640521,134209.378694169,242111.69690915,182988.380077655,98452.7335715183,134108.529771818,113607.087949237,88051.1071820586,169231.12949104,107202.827607493,160930.374954913,116605.746175217,156433.983741105,154558.884765472,107355.577692484,109337.12354921,166771.827475112,209186.292687792,162736.915503594,224570.717235545,179087.00321006,290884.033993886,186319.691186416,98930.6008975236,130599.400363719,106257.778861703,124854.686288845,194003.838516724,212118.127135557,195185.133949749,169320.016735015,145128.886543714,160230.930792387,179579.313118004,133499.930997903,167194.2224931,171236.246263726,180284.054558981,91571.5255879675,182277.227958055,212057.632927979,139630.657015113,172702.079873419,188583.523502539,151387.541511594,129308.36492635,171946.50726691,105807.499156724,205270.264850588,150536.779326669,122590.697844446,172116.018666982,115174.296566942,186243.767747632,90372.6847798243,199749.833343128,236753.034621967,116722.166579401,76130.7294633792,108949.62311732
"Q14204",120629.627745089,88471.405332635,120897.802089235,72626.6196468712,115064.525338302,123597.512524571,129780.955482293,60404.2027536813,99705.6416580907,51366.5121126187,77096.1353727508,98511.5858280755,69316.2944031433,55495.5191420106,82121.9078601366,89902.1828935335,59699.846073869,101961.195828082,84301.5794391892,72398.6758841641,86788.3708834833,70225.536806443,87827.715880084,89703.1554783399,101806.662461538,100939.606334297,86391.8077836814,106249.305111514,102225.319767758,100102.133775277,57287.1389998123,70779.4957272673,76260.7126084668,102645.96011513,89596.8372584302,91818.5620194422,71620.1629986032,145899.50386842,72580.1588855663,71282.1666065928,93293.4944691561,93751.2749160232,139112.138367884,66932.439906811,72220.0708259166,104417.421172393,75830.4117539421,60550.9242872937,64925.995575165,91118.4806089864,81328.5234985328,54314.3775704778,77343.7124205453,100943.153124152,163923.21669108,89978.6594760308,109785.292896376,110000.600436314,97512.3430082739,96365.6473489869,119649.264157287,95537.954965613,84783.4555189479,59903.7463053268,70880.8515909903,59173.3585804064,86786.1558834794,91484.6626330859,100683.20910826
"P38646",156045.87064698,145629.905927435,171630.363197538,153674.548150584,157085.786584482,157078.693977929,163883.251541316,210221.968318427,198271.050744976,178285.065519922,189183.528003286,216396.266301522,169985.714819563,145087.886289327,181955.835961321,147453.735804357,144263.958877873,153177.197623492,210874.378222249,165838.765594735,127867.496341382,142999.513057861,146835.595984601,153048.088407427,154082.36855764,143206.104247657,169896.603400682,173003.546007916,234996.152061124,194566.757064665,186356.998255326,221004.229596764,196510.659496767,142152.676083877,200255.281926835,181699.28915893,200041.906667187,185615.329041604,228444.186063518,167823.204659406,165218.008319013,215968.069045459,193532.866830277,206809.57821403,184909.409051678,167560.221524058,160343.295514283,158557.271372154,203727.070327909,170113.310707838,155482.861766356,166823.16871312,163935.373632454,157439.575718216,174299.156947983,184846.235963253,180922.582917244,133500.707786421,170386.710612268,164633.174498592,176388.609845113,176997.373239053,196290.949705114,148626.3561481,227179.106886926,183844.104330054,151011.011840367,128548.386474109,175155.241173905
"P04406",1083368.7388705,1137972.92839748,1142714.82379656,1145534.04635722,1093422.56078841,1223228.24039342,1007723.52426314,857226.50571452,1501270.54610051,1266922.1087589,801140.723368653,1038538.94944069,1223652.08801575,1144088.13464694,956820.426875637,1312666.38927787,1193960.10338467,919551.553995621,1124051.64616147,931189.337104583,1184231.57205531,1235103.85884564,891492.236450919,1156890.69308536,1356095.58500591,1041261.17110088,1078060.40227009,885155.264337912,1104396.77089574,1040406.20066998,743938.343689515,1018681.27806838,839425.277424167,881741.381113688,1680294.8558212,1410586.57261918,972636.633942933,1115400.49068383,1137068.73166114,1172016.11167179,1141394.26448893,1135467.82334342,1048991.73997498,823528.930566008,1071630.98143295,1341324.99584291,974194.326166311,1330289.02526306,988521.534590077,948063.605945107,872708.050898301,1857600.18297785,903492.370303805,996064.252480545,1535763.02064382,1072449.24937396,1874487.34813095,827120.987587616,1113994.46160172,1163471.44492555,1238418.51988397,833742.208552902,1025594.20264553,1499675.92143715,2126795.95510791,1026182.99177654,1220337.19810263,1737049.16873957,1031510.81281956
"P50990",445572.146967318,424675.967419093,453630.265046969,387064.571774298,408484.936073166,405533.735205563,384886.768328903,386023.235863459,503852.714606788,360702.605911831,410625.324003386,459297.616720055,403677.736781346,326191.312639318,344068.790286498,416552.731223513,353656.683262898,401779.558431628,348647.891780244,413362.381459287,367771.619885894,397660.757473277,374435.779124695,342348.084090898,320763.850443306,361397.771584586,333968.224181737,412330.204220397,371463.152669794,362439.163841247,510570.276876424,316779.332024635,393948.984028154,374508.812428128,324077.299176009,289051.287714722,389832.889459599,388087.680077556,404559.000468095,403427.043519199,345290.534890576,364844.803577873,367898.359019774,363537.124555166,371685.292613361,410235.830171003,378167.943096607,343648.287691344,399434.68459722,409853.122959384,328618.566513373,252129.247511253,405401.731460377,436583.232634723,437942.459811343,367944.099614258,374368.180251936,348463.74822453,364401.334413801,383486.188702461,362080.736885095,394829.567439249,337371.673365425,361220.877491979,330709.326964909,321150.697416855,413476.545654244,296178.875218214,378111.984141314
"P22626",599326.900964168,441207.724053112,480519.668599525,441302.038509445,638549.636225036,538656.794042079,351173.230119463,550173.127787892,511961.367091735,628001.980711456,448716.853628383,721001.113665475,450177.380858531,553848.640096726,539175.364337959,683306.989459075,631430.887551197,553999.336853852,678696.911077598,572276.365769234,515908.923231644,612831.730599483,585665.103721246,594336.272467218,594518.917690362,356602.065468894,580953.762746634,547203.665169866,488795.818882498,533415.740032225,601831.81119584,581495.95337482,481205.970382804,389886.849775187,539270.382494682,603097.770425792,593203.105331989,588812.30220364,523049.376782222,505692.318158015,523266.747596051,554460.10994329,401911.744434408,602740.01646764,542368.61991366,584716.921095216,506400.391652384,589515.623745603,417193.252016852,594750.471153102,429782.05300114,497991.875977162,553892.63736556,483120.934699396,638637.307201892,474202.117490596,679240.13274444,377760.039435702,463798.867162646,513574.907482235,495419.048696302,536856.686727132,350140.323778931,624524.626178612,601343.03330781,773931.703672732,602823.882420112,558831.020677122,540138.468810544
"P09874",183458.146817566,140073.258085813,193925.80360846,177367.199326519,201209.760393822,159716.525907099,116794.204805386,167660.477282293,148595.366712522,169708.912727837,173847.151357164,172117.174547351,159459.538354512,244562.570537992,154990.549390014,133982.821279146,146183.50207309,133186.978234219,171089.958845632,183267.223271913,169004.65756511,169738.751502242,145521.018026153,196929.725800221,170505.932040831,152679.657751736,165108.365050145,180421.740365775,180142.551852476,164959.796790375,147230.219595077,191680.133918995,152749.01047328,162913.203835381,183995.813505552,149711.815184521,185184.222128978,161706.512397298,182064.875607413,132552.622458872,189630.933801221,147094.564068006,177334.969663764,193994.786140643,167212.3297317,121897.317301376,151630.428301714,201490.150939148,151465.13738341,192898.324014177,171263.227269433,166610.737710312,195377.625272276,136697.75232472,145714.857329682,132796.756054499,155803.380099712,167800.854877197,210677.532937503,151298.164557116,172809.419337791,184139.667392083,141289.335630718,207031.022848566,152840.940456358,177906.161915236,164189.147764454,114384.982822517,186252.617736424
"P13639",587177.248305867,501850.275231873,546702.069099089,440385.219806046,490744.375241261,600384.787092866,460455.931247095,340380.428470052,346253.89564858,465042.618325394,499703.618832242,404310.933339471,588256.185979291,428627.76814088,346028.466927772,384201.947028507,460541.309575843,493226.180917551,422254.288296866,525789.19879145,411746.875632773,486067.009446651,469863.646656612,481708.160944995,438050.735947089,402158.904289114,377135.063226211,458122.760441427,330642.473221353,359117.636697748,476659.177984135,382415.264982472,495334.207837051,461464.171012738,361692.266705696,339920.038858257,446290.439381942,431092.565347555,484437.729088312,474544.295832772,483355.59845622,502030.967113578,392123.870453206,387664.231920647,477751.258303494,437876.182133616,485453.78653456,384360.230012631,499896.071769701,494441.24507864,361818.001779479,337987.711610789,433381.258932778,530824.073034426,636805.802333203,461146.822182009,461997.661698754,440492.442183697,484986.260083039,489933.289542423,419844.479789393,493993.303416763,438065.707057451,589876.682454963,362586.303867399,439035.711034623,511517.872508446,367418.329350635,393210.711916997
"P02545",161214.165014886,155653.882837797,181029.326483109,236755.467029217,195800.46392469,195209.611391936,147514.065284031,238546.475249335,265389.717827691,223654.557420579,213729.657000449,247695.420711411,200674.958641365,186650.903448689,206059.23014864,173430.301304493,164924.895023103,172866.836938171,232588.17585378,116099.456122639,196342.969396767,199738.253148649,191219.080364215,186920.925709737,187605.958704563,192709.580116938,239819.125976015,197384.819857297,197357.064348032,199189.563927915,219259.310125611,224516.170090921,125074.611314982,212336.276918367,359473.677248315,201368.83021441,224578.386707819,182451.302398337,283793.954170044,214495.030811234,157895.500623771,180589.942117422,137688.10031177,325945.424421949,249826.983060264,316689.769396911,232307.569637522,334253.876159531,283087.689290391,193141.38627173,248249.144366836,175483.337227235,223886.387897159,182268.257818512,293558.322123512,204092.110363795,128809.500193119,189470.074615764,200310.679033699,240566.126792321,308732.668123567,192869.760729843,260143.649445849,167122.630613015,218752.095753793,328217.631708084,279078.852164136,268536.323704266,234797.52423086
