"","F1","F2","F5","F6","F7","F10","F11","F12","F13","F14","F15","F18","F19","F20","F22","F23","F26","F27","F28","F29","F30","F31","F34","F35","F36","F37","F38","F39","F42","F43","F44","F46","F47","F50","F51","F52","F53","F54","F55","F58","F59","F60","F61","F62","F63","F66","F67","F68","F69","F70","F71","F74","F75","F76","F77","F78","F79","F82","F83","F84","F85","F86","F87","F90","F91","F92","F93","F94","F96"
"P35637",41514.034512374,27553.7550275052,51607.5775564448,28363.4340913722,51863.5336124468,52873.0961343474,25944.6388348914,54837.8797481276,58811.3662318874,52984.3689700605,52381.4815152331,47816.0200810648,36299.3017974937,45742.8358720034,38465.743281001,37606.2239579506,54816.5415268646,50920.9545833785,45339.437377789,42894.2739547669,46101.8233837238,35313.4084011666,35319.2826418979,39305.8316394566,49921.7219838828,22437.2703914598,42791.807526596,39305.3409214916,23573.0689665935,19167.5726634887,34368.9541315339,55549.7213118503,35933.4516632412,23494.2870249543,40734.325677087,34557.2746770549,48504.5591131887,39177.1910703085,55378.8442776786,37165.4552271799,47270.6629151277,19498.2536295634,27191.4977001472,26721.5635008014,38150.4816437111,44799.8912815531,27150.4882808508,33234.733224896,71150.216570688,20281.8181190831,39797.9278665976,61028.2464723472,26138.3672837562,33604.0909737804,25399.8886814026,26221.1585124196,37292.6319918843,43614.9152716092,23562.1595296491,24791.6210737363,23239.1893709323,40176.2565183688,26973.38259507,41661.5408221928,48253.2674666134,60946.7874150746,72710.2385631705,20828.0488908891,53544.0611390903
"Q92804",19916.0121284414,17782.3643910384,44255.6014523087,32939.1225470564,13871.8918692488,30804.4239830835,24978.5797288875,25388.5908552839,35152.4099120134,31737.4921590721,22691.3568924943,22263.1439530552,34794.9090511333,31253.7054061961,28238.0648073641,19829.2798552157,19709.4332349628,21915.374116224,24781.80671425,28480.8507018951,32674.9785045981,31201.8418153674,27198.2264012675,24697.1563707273,13355.0290281367,24124.9231762111,20069.1313302226,15573.6675768303,25351.9599391697,30079.3068133707,21230.6979399619,40358.9413840398,12654.0805801326,23005.5186423412,32998.0862728853,24612.1444420433,37958.5966336818,25827.6371046587,31961.1552369545,26857.1368873176,24594.0508051305,30779.1331248221,28444.9728858223,40675.7828157198,28519.4183294001,31889.2843966078,29590.3408916319,51035.3751410907,30740.4326050071,39612.6648300239,25989.8650347063,10873.5877337766,34139.4987652761,26836.9326009426,17629.3593237154,37007.3207464574,26096.5410217127,24875.0744308847,26510.9834790421,35111.1012291673,27706.2519556379,29717.8298060991,33961.7898653591,16068.080789514,35254.3888618222,26329.7023961296,42283.8656517209,17104.1866977145,26239.5183050598
"Q9Y6E2",103266.152450383,87878.0736438223,92777.1560642234,60986.5317033396,74565.2254177835,68812.702298348,39098.9462194286,73004.1632688879,74755.8698067346,55872.0294986464,71868.3817077835,71552.0821322556,79765.0681318189,57590.7784181888,67415.0394205792,80717.5831353695,85939.0658872386,69429.4038796439,74803.9638800293,80513.0537768392,62620.4282316144,62581.5586007778,66637.8871139653,52691.6792192452,62130.6962921719,52496.9475183379,50756.9669107982,71948.9294944041,46520.1858928803,54220.2670239832,68988.3896349846,57109.5570910126,70744.1029748724,63279.7457300056,42257.6385435387,45508.5715722539,53883.1667732047,66910.3024774581,59587.9042446832,74957.6582329173,74634.2102582146,52452.1242289886,42646.911907426,50655.7274460551,52743.9405134011,70818.7467798732,60463.4961198971,76511.3582347571,70783.7103252289,57132.2791808411,53924.8841051812,44705.2067269105,60308.5894241221,80985.1113230676,90459.0961439444,55369.8473237719,50408.1279874407,71686.196851781,80317.229535643,66255.5975407719,54720.7301125037,82517.6861190284,47793.2205086895,61142.3620172253,42460.3121052923,54536.2055310348,73414.8970392275,48735.0285671163,66438.2922642231
"P62328",94264.2020470413,70810.9646974948,124817.908900909,243405.771095843,130492.49306231,165652.29340426,112278.952262114,205817.638510295,176423.818266024,89740.821089421,190771.751288558,20184.158977502,161338.550569744,88275.5851333939,147798.902796313,121567.82523233,178694.45817905,76100.447670728,92435.4757848148,85247.6083294537,142116.971924939,175451.602414259,170760.930248689,151924.719599283,96131.791309192,130094.82927913,87435.7759952599,94733.3485924489,86905.2188146329,168011.579525347,125207.934352593,143022.834497455,94447.7769733233,79620.0784379794,113268.278300348,219406.135814644,91106.269884771,182244.046750166,164851.629693728,160545.011843754,164631.766763233,130938.215566339,303908.650354942,78237.3650870454,211696.650183879,154035.568711881,119975.023259321,189218.821451122,148906.05898721,257447.831965503,136345.072345422,65237.6265855198,197706.164146749,166895.782274209,154151.688447058,205064.352968079,179058.240686908,93878.4105507582,170605.684440431,113311.824330266,139962.268001875,115790.648071792,149360.986088905,118307.881438589,117800.930574523,91900.2388609675,197544.303573817,186114.803756285,69083.8963737768
"P61221",54663.4014651149,58801.3655636744,59372.5369118356,45372.7170628719,46495.4447615388,51293.2864132184,68213.7426033533,72094.6192481687,38967.2765608743,46594.8899931337,58915.1082215248,44690.9938456268,55326.3191291474,44712.2192642446,58242.0025683817,50186.7890264521,45009.6487101171,62229.5603180506,45201.4834800625,47145.7482541771,49311.8892251659,64708.7581105929,48599.1830679109,60643.4385086187,44701.7664872004,48969.6214985273,44799.1411999517,55918.4643016643,51088.0603155626,43442.1510831768,58868.7611725176,47518.1326507585,55997.0532198116,60004.3238009628,48474.9015638509,63636.5918806523,49082.312218794,59919.0436767525,52347.546966544,54719.7257793898,57003.5763359122,62543.6087335367,49598.9879143632,51814.7146644064,48284.7940487005,46771.3252466019,51952.192773045,49750.7970371355,46142.4741773974,45325.7353471241,47298.3079161276,45630.706772545,42539.6838798642,45247.7786771443,47602.2156788241,66048.5252028921,64971.0747211954,63703.8288730439,51174.229301845,53208.9210613578,50377.6565051777,56375.3289349536,44720.9334752075,76906.145500395,52534.7034731577,35418.3538528147,44712.3849285953,34940.476381464,53317.4298609075
"O60841",23522.5180719984,18283.4357281534,22726.6608008461,17878.5523004897,14640.5271417824,24279.7773113308,18092.4886377569,16122.8847431641,12734.8950589255,16617.3802231555,22345.8976012663,18661.4352879981,20811.5243626104,14213.7113868552,18578.2748319749,15728.1876678767,24920.1326748801,19344.7350933312,15237.4046322143,15940.5283703717,20273.9453017601,19847.9383462652,22796.6616879486,21103.1198244926,18748.2192882221,18118.9202348034,16649.6294929717,17960.4863653385,15358.2921772386,18177.6027515634,15993.0663194296,15261.6987930729,16687.6918196584,18833.0779200901,15136.7882159769,8908.73847085028,17816.7727371828,18960.5220733261,20320.5882876231,22303.0224585437,20174.0888746541,22362.9845516556,16348.7037500011,19158.5228710834,20365.7266652147,20908.7354522445,19260.8100985286,21244.109405173,25076.5871218494,20646.5161833995,23434.4901768445,15547.7562730698,23291.7059674186,24510.2089143145,28576.2152041652,19020.086608459,21407.0663565666,21684.9831159489,18688.536236067,17576.4070739948,16978.7790988927,31470.9274073134,23559.3597827606,19368.2604401154,19353.7073125708,16811.5414567909,26176.1632916268,10345.3908137451,24763.6495170763
"P26639",47191.1204493228,42223.2404306624,54993.9026099656,51389.1384814988,57350.0467217961,51797.9575681588,52515.0651457211,55656.9684415899,53804.4746557241,35775.0500755534,47353.0030395019,54673.2225421299,48331.4926640198,34594.7273826872,58199.5592532712,38594.4574078732,49031.5938885426,50297.103398602,43926.2485204151,54422.24973605,37259.4528105962,43987.0020254804,50492.0915728778,43688.836343821,34443.6620821821,39326.8660981323,30157.8450591483,42856.040698402,47742.3031960679,40895.8593918671,39711.2083536727,37577.6611880298,42491.8307597488,45149.0064923945,38443.67055364,26151.9184095879,31461.6520152581,47032.3176752615,41740.6826816552,47870.1788650511,43348.3929226062,37163.456406604,44861.8166230617,34796.9368797704,45607.4990486983,51440.7279775294,40134.0727800362,45809.1962561398,50908.9539552175,44973.9132504668,47460.8460813824,41633.8030776349,42484.9302217318,44343.9488640235,56019.1413892557,47772.1714475362,31640.1339044697,44296.0365637049,44289.921836708,36783.2860631246,39669.8383512271,40521.5161708469,39300.6466465661,47695.5568021519,49494.7134134225,41824.236563911,44953.038894052,43526.3142412707,45460.3164623487
"Q9Y5B9",21116.8069024632,31985.3717011971,26081.7084559843,30484.6672861694,25794.4361023197,28714.707959337,24105.9953257432,31911.0982156328,30732.7378405566,34019.9343729069,25363.1083588705,32071.9832525327,22452.2638040748,20260.9314044106,34081.6785938792,30146.7890291909,17227.7210268863,27223.418075344,30443.1948666149,21029.5068974911,26027.4623355099,20353.478870198,29026.0590438102,25860.6139666121,27288.1226494583,21721.9126197861,25699.8626723344,25270.9871442053,31096.2625272504,19344.6378034202,37036.6879607128,27139.1713507113,27174.6175478144,30427.5169351626,20086.6437575505,26159.6076920005,35227.6562343502,31661.550371301,29166.8546009182,24965.3921326297,19916.3136817773,26737.5127538383,25652.4371684259,36708.0482314707,25259.7814040023,18813.4175182354,26914.6418961037,21860.6528839284,27396.3245744205,30516.3224040793,38382.6457344974,27681.9315270488,24097.0090355842,27957.5826994107,20971.8126251298,25043.0421549315,25412.7897498404,31436.1712945757,23739.6552978735,31224.0172304878,30213.8580778186,31431.8745244423,22170.8022331862,27662.1496233113,26870.7015300693,34797.8911990744,26687.4932031357,38961.2018807397,33227.9723014116
"Q15393",27100.4495608429,35209.7585738797,29760.3720598999,24250.3851399772,31148.8538415017,29892.9757225784,30814.2065157905,26301.6374391308,25348.4682896966,34749.4145721385,31412.9805580338,51351.4123326737,33187.8298297029,35290.3298118735,27730.5096545837,30302.5279237564,26059.1775654128,23519.4741531368,40445.0448859348,23116.5096229127,28640.6583423618,35409.2944863899,28748.3969057613,38954.2003860605,32888.2553320341,31758.3148649408,26754.9111921776,24436.9558359575,30813.0010080429,32267.7153187757,46662.4370633079,37110.6002130187,27662.0402566736,37382.2881651211,32423.4516110743,29519.0048483686,38517.5496128781,41566.2320644884,36323.1224329615,25996.6326962838,34189.2397371603,37102.7572850548,25321.1958371687,33059.5585239584,28337.5019138778,31100.9405134707,32071.2482161248,28088.3117056533,35141.4147361305,34637.5771539643,36615.3725042777,22125.7298610019,29309.0559575535,26589.6216563065,22587.9852702359,28955.3405246017,24720.0776419055,37467.1923250314,30254.5107040841,30147.6456262791,33295.6107684485,27446.9058712589,36060.2700867943,36789.3152210851,22540.982976437,39679.6760762534,31545.1842637482,23036.2832614327,42216.4162720932
"P47755",7706.59224683032,10861.4049102006,7239.40038164843,6724.60204907803,9737.62806039106,5235.57171711902,9426.2892770643,4886.79075562544,728.473842429147,1501.35966188456,5871.49218416614,6985.81640792164,8927.82912079928,7591.47074657105,11030.8894726328,12241.6268782911,6286.31521340906,4725.38762405754,12856.0298993069,1101.20122405514,12681.1167230029,8512.50643400236,7983.39954417097,11988.3638655353,9208.64213248321,18990.0021168143,13594.0688326293,9925.42787492599,10295.1315283228,7687.68916153194,1538.73886542351,9398.78506338624,10706.5434968012,9537.19736071143,6172.14280245347,11775.1512056054,8087.71438182393,4759.83463002274,6711.5168910241,3022.75642350824,8394.32815264449,5220.12522698807,12698.1566523846,8553.74488858275,9150.81393510309,6045.44552993961,6407.01055601976,8552.90289978944,3745.57042438022,9140.13713451387,10995.2694674829,8243.00511264664,11536.3742953191,8039.7362034095,13591.1083959915,11716.2341142352,9503.62629071174,4921.80782132678,8585.36772016073,8568.77828466539,1522.58348726847,3881.23769377847,9365.42510969557,7071.29557006541,10666.1299598789,7348.35866977694,3939.65474064143,6791.07226861469,11130.0198406717
"P14314",32351.3610613206,39604.4362645556,32885.6758811218,40009.8536876564,24300.398617489,31799.0534225433,42028.9594134686,29878.6742719519,42580.5119860967,44933.0662370956,32782.5126520267,47827.0367464268,35348.1411305365,18013.6186470279,39682.2572446188,39978.2254092154,45904.684840928,46358.4966351596,16064.4081393459,35535.2921338041,39076.0030492535,28690.1766509677,27126.3003512732,29025.9287468144,26962.6732794486,39337.2203134789,40637.2358061461,27500.065311112,40127.3475930783,5309.86925514029,45626.0348286393,34361.063783944,39859.3283190178,35259.6613965777,29157.9337287296,41915.5220767356,41702.4812940229,42532.679320396,16495.0645195046,31010.022031608,30253.1429243025,37099.2618243931,42647.8244315411,51473.791241369,35405.5446949647,37601.5954394734,25376.7916267029,43872.6279270231,31706.9867106274,26429.2863507286,38796.7352389528,27113.1644860902,29598.96799827,19123.9872878337,26517.606063606,28395.9874128806,36770.2800655785,28069.9351328174,26336.5104428168,43057.1024821177,30635.6806206325,32490.5598416593,13099.8696790649,31101.4143378635,45144.1001292145,32008.1212731884,25279.1606514585,40874.4567738384,42203.1266937156
"P81605",119656.593982653,93865.8863632918,110335.473903327,152847.921345898,158681.690977903,162610.879428579,104805.324239891,115398.817123157,118328.22154843,126879.650261145,126479.351344902,117575.777745711,100219.548815846,173318.529288474,84271.7293720763,119089.953492143,138961.433993521,112857.792190186,143769.932302715,108097.566797075,104550.10816253,119490.366445293,80439.7868974243,97224.0181098588,86348.9804803818,108884.561510252,160184.024799126,109677.481511008,70189.4233573661,65495.1761461879,81459.504367599,90853.4806882101,145985.130368083,109595.154404167,126020.567615174,155212.745598587,121201.965004521,111334.121391708,102560.943389253,113580.65071807,118654.579859484,92288.4555437873,141481.474552313,112944.426523372,69580.3368107416,108071.627553233,77416.2092998046,147627.312790475,67328.1776136067,68470.0574572506,387066.264587374,156733.055185792,72000.9216871815,93738.17729302,103259.964940425,109925.017758197,121673.800794439,81008.391596046,76017.6369037831,106141.264551577,91807.8697751724,104185.526701146,40946.8523643146,163450.138241066,196368.246470522,153642.818735853,171038.490535524,213419.953747239,128881.497241516
"P07737",250528.019600999,255659.765414659,288021.290365843,233002.045277587,327694.133107416,291084.913363655,243724.114873115,210072.968557647,227621.899174369,207691.785806005,213763.592214223,131594.91830714,240656.286559564,206493.034514906,297324.664876814,292573.500587798,266664.514479197,240220.70789671,223260.309426011,248769.163341767,274949.664866665,298241.268031264,273393.957543126,249250.043212655,196454.492815325,242265.917762784,218453.042434155,256117.38112133,257868.514776722,189207.324469378,266297.009422453,216494.405804702,248821.946692022,276581.095116156,251708.401320371,246181.649869611,254189.694071047,212622.87968815,183743.198787867,296461.359211113,232399.88546601,310093.221540284,268338.14508645,178982.480132158,287984.796240422,296887.509899765,219378.739835296,297855.607338875,272086.445819881,237195.735918652,321042.944636504,219781.615527446,240750.892234769,235993.25547515,302277.919122951,259080.71629712,246525.843510086,268810.032007252,270451.951557949,332323.050693767,238839.314720388,311609.771174407,189679.84827799,251349.3609094,311008.333235854,215674.312582834,291025.997741251,375982.039010925,278271.968516102
"P49257",48457.736732844,33220.3103058671,37048.2608601648,35281.8796501248,32824.2427464213,41315.665422034,38355.5239874539,29022.141424384,21068.0752466837,20643.619181586,39215.6040893902,45132.3486115197,42463.1230929354,19410.1111751321,38786.8265435813,25545.0929867145,26135.5096158489,31519.7405691499,14188.7673390665,11467.7979596578,34298.4689249827,35727.7909768495,38581.2765266075,31886.4568071143,12415.1029884276,28328.3396689195,24342.2173261002,39125.5888842335,5381.70667289258,5901.75783587041,9851.73760977531,12294.0784642917,31451.2227126393,37164.6332939625,25778.2465748079,36732.7312731025,19607.1376572925,47083.6772875638,10232.2302090492,24501.3480494694,37922.8943355363,20796.7131064046,25352.3209748649,44283.7358567402,26612.64347927,17366.571408922,23690.293381975,16968.9552678045,22988.8511023676,28691.3939326025,29726.1728075744,19229.4095128813,22240.2556075391,30462.060164476,25681.4114004283,25275.68259453,32208.904466102,24979.5959217929,25967.3903091344,28127.0301375326,16747.618620727,29543.9253646374,15627.5977542105,34252.0399411732,34157.9704004171,12050.3781926406,26109.7548517006,35925.5052971312,30010.706255424
"P39019",64307.9207640877,87515.8503835108,73428.9524201712,51488.8359589395,74032.1930549981,65005.317988961,68805.317515291,54721.914287081,50167.0777137448,61497.8376749658,64648.279228207,79503.7781550854,67231.8419253534,53145.4794327469,123472.986453593,55776.4888644963,128296.544361897,61851.5310734207,57533.6518225157,61612.2829020178,61947.1496800502,70882.6622946243,92304.5534597467,64501.6347629197,58134.6846512692,49657.3722138087,50772.6216655039,99659.0323531448,46707.0897927172,58732.6567863899,108839.727452161,52153.0697112723,58778.3943687379,72278.8146976098,74001.273154431,46003.6012215106,90549.466900816,60867.54743356,78451.3304642576,57110.3456099576,58012.4379903855,107671.95813123,63810.516189407,70278.2698409921,63123.9279708995,66874.5848367066,60045.8642777791,57825.4905790915,71306.2985415202,60804.0399405918,51593.2289987038,45331.5765299989,72776.4141179461,69341.8798793426,70766.9690003116,63972.9603118482,64708.8611622619,60028.4817542748,58989.6259442431,60630.0663611276,63324.2310091968,56978.3505542334,86927.5030304734,68688.4573252366,57873.9017221743,59055.6087459707,129430.615379744,88169.0488097454,70589.6866481209
"Q92499",57707.8552734148,52176.1099383744,48702.6061028187,42012.1102696003,47680.8786839457,45828.4304259892,42174.0860311134,45627.5241305503,39398.6636753111,41176.4869181031,38203.7800894059,59128.7651669717,36633.6431937237,41354.7847569762,45651.6694812274,41568.0966102299,44785.2969946797,49274.2209127933,45931.2142085383,44423.9060992417,35880.5777495769,39363.6865072527,49979.0460883573,45556.2460471391,33314.4868610533,31573.3840397344,35469.1963683531,52339.7562666264,40928.4061996107,30345.1642781423,43702.9566676412,37149.3738345658,38488.6963182791,40665.9160896611,37603.7562136572,37037.6571849897,36537.3174334697,44907.2328386935,41755.4440398676,38989.4852890688,47913.0952749836,42008.4035286949,45258.2266774378,39569.0646950443,41310.86542019,40001.5252520406,36467.4952300226,42284.1936914766,28378.9389534014,39685.5221669399,37816.2038465374,29835.5060638063,32269.3813425536,38037.5666941405,37121.0996738423,38522.3789687102,36211.4581188895,42991.1282673657,48894.2154666267,39825.9757091068,39424.200142539,46351.9454657761,33354.3844079841,33422.3108145906,32994.2060189616,39784.048328096,33463.1156784274,35632.6220303961,43539.8342101777
"P63241",237828.076726475,288031.074600733,282852.144205806,204498.250552615,234483.682623068,223237.383872569,191175.209480998,186851.373084707,182451.761682227,203262.614325724,195857.854453135,108405.567039184,213553.78683631,184902.712003038,179821.29861426,187025.975231667,195050.926240537,178019.425205297,157676.624211717,164044.001693437,172753.057984442,226097.016485155,219087.876876574,231569.486312667,158623.698096373,178405.07264271,173716.604692962,204981.99151923,212289.823871509,188446.977950702,227288.690341724,208775.1817175,232030.236014347,273119.367120737,194933.924234635,188755.114589058,204948.6763108,177073.510573882,202709.027437611,220537.207831437,231706.732983986,252469.65367352,224594.811129133,233539.786211548,240588.676094309,179757.266317996,211198.529161822,232454.219094175,176443.656181536,192411.73227145,188620.875118175,145321.109999213,201287.137945525,217280.865479469,323265.501564137,224743.036270864,238711.560662922,244802.566818767,264504.504991694,250964.493502788,239381.168666418,263486.39709288,204385.149748773,267080.246474854,174836.248342017,181825.198384208,256745.081469234,189770.581100013,197334.414703867
"Q15459",23877.0495090257,23537.8796515327,35957.7025973366,30749.1322695855,34757.4672097924,30763.6938802719,26918.0212136493,35505.8615405227,27570.1902411675,34720.3633653308,27637.6713712092,43511.9360329,32429.2346592445,30600.1752972342,29951.0396854724,31915.1253000233,25694.4914399417,29491.6274658145,35455.7440128417,28019.8145004601,28128.9478332982,32553.5095672326,32114.3175168421,30258.881330369,29282.6387519999,23934.2951705058,30443.8178614123,28363.1874140257,32920.3473272259,30358.3114335064,26107.3286194473,36180.6631102081,29542.5929308848,31662.4555026812,28930.7733619255,26673.0593418209,39113.7169176014,29042.888090084,36159.9155717768,28235.9683526149,29145.5636456223,27042.6659567341,27382.9996076141,36910.3959114019,29664.1679287437,30951.8702313223,29317.3041078838,31784.9157324903,33877.0457130209,30205.8214056648,30730.5989384788,21305.6686941605,28827.2983230288,23668.1308165501,31208.5243971881,29693.9159482642,26286.8089515282,28023.211588748,27552.721813184,29488.7174764239,24117.2573431056,25007.3871842964,29412.5345083984,30272.171505486,30467.7734944652,37394.3584132383,32549.4441130143,31077.0359147096,35354.4168073489
"Q16222",33935.0390811562,20953.8647534136,50711.4240112601,28956.5158014234,32152.2854011409,34339.3895561617,28097.772912816,11190.6275327512,16093.4746698089,22911.1391769416,33833.8438547716,32105.068039876,31575.2175739514,25470.4681612304,36088.6025045476,23471.2636114229,38775.6592035082,28191.6159019903,30869.7429359324,27246.0446012842,40974.012810707,27356.2840177129,35829.1572948678,44164.0312635055,38827.9767197126,22226.9571108833,16826.9909634898,28208.2003800193,22377.1115747462,22776.7512510499,25177.0754266737,26308.0504432394,41092.6282676995,28921.0570376061,29888.5243909232,9184.48746884108,28152.8228831929,28889.76374931,42153.6974937292,28918.5465493901,29016.849862812,23322.6118414843,23455.1276771358,24135.5787804557,41620.0903904583,30952.0871230636,26270.1686880232,21002.5746447588,29269.5804194701,62780.7361990062,32185.5689155115,16047.3055646667,27644.721078524,55924.1015507643,36974.8411230027,29135.8121202298,13710.4016203391,25896.1232230238,36542.5398937818,41225.7228096043,27715.8600635877,29206.8967296754,28866.2600306585,25515.2056764593,17622.5139300608,27437.8081308474,26687.4106254687,22989.0636212303,46048.6769283971
"P22087",39511.4371510917,52338.1451357243,63121.8353357465,55582.5343673032,52854.9029287159,47216.9649478388,29200.4609384035,76620.0918412878,38389.9152281271,59738.6211229011,38086.6208803152,52108.2049138488,49111.9374026628,24203.2808143782,36686.2228777781,32802.1204100987,44360.101912197,40506.5981584815,66634.7632411867,30462.0067054559,50225.7138372762,29916.9907946,33915.9561297101,67920.6953435025,68633.2423862493,40283.9884859559,58718.7992561622,54839.9623760043,46990.9894921845,66020.7540037376,54129.7963807846,62751.4252111562,26471.9081516455,43758.3088892808,40184.7006283894,29384.2639668013,76752.2641025224,54606.8641034982,65270.1689944881,42844.8248257897,45114.406446194,53353.4110309645,36296.0235876298,43121.6030707065,42290.2470939946,55846.8756620465,55423.740600588,25846.5597961892,52540.9414791459,57343.5907794401,39757.1982019298,23997.3903655454,38771.0966776926,40693.0521551592,40823.7580245083,42987.0213286644,57561.3346744544,31349.2828692554,22091.6435291921,34879.3825489903,51323.6630038074,51560.9242984237,76041.5769335752,22752.4573747157,28174.2765856954,71433.3297900369,26252.5476502458,30970.3906697077,59192.5371446434
"O00232",35989.5593426747,28190.564782338,35215.8096003798,29820.513213511,20177.4399353001,33958.1654255387,30255.7882266599,28817.4763903517,22466.0699530889,30003.7014005966,32398.1268611809,30824.0465107044,21089.3796505953,24511.9794247866,29078.6277835252,18066.0145940818,21278.8278096837,32036.5691188801,28959.0915224618,26571.0587435473,26123.7588300982,29850.310647661,31623.1261939508,25968.5012571306,27270.7739109579,26811.1005422867,28412.9299354571,29125.8630458251,28878.1291544822,30469.1620650669,24192.3675520273,28606.0705533558,20545.3380689453,35731.9733105446,28106.990555821,24002.9660495193,32338.5774367711,29860.011359691,36339.6338826291,31307.9576259424,30706.1856092132,30707.5723177335,34770.9773190353,30038.2357827221,25212.0498900313,34980.7944017222,36402.9100992992,22366.133525296,30268.8289069114,35346.414564879,32383.3308239003,24263.514941745,33395.2082115823,35353.9365484542,29889.255460665,30630.1900463937,27876.0846219817,35118.1210711252,30685.6649023083,26962.5355588942,29393.7044395226,26805.5702913077,31102.9395415898,27133.3629149509,27587.1690445791,30255.7810546406,27856.128763877,31134.5341185937,25747.1998746834
"P29692",124903.580270989,131718.468022911,131845.826766118,87167.2137933053,103779.493056645,86703.7067864624,108933.506266031,76180.5032694211,80645.9563589715,104648.410692815,89927.1347374862,104882.947684153,137291.895123009,65924.7364949534,84833.1467791456,76537.4990373118,93761.5239486526,109026.520133692,58760.4604014703,78459.2442725161,75711.31488579,108129.247367218,86550.0859113191,87974.8913727847,55421.0238850537,94591.6260917565,107561.561745705,116100.270622609,115974.248977756,88713.7595599361,109487.450433253,100435.408414078,97299.6457996438,91068.0781816688,83959.6316565338,73434.9535625166,99840.3525551476,97062.5044309021,96832.3171334821,80819.4005560055,98542.7227763687,123897.150126501,114818.894503126,74226.4918033588,66104.2830437299,94377.880596526,94361.4936023395,71152.7316226467,101417.994788333,115923.715430321,54969.4348336421,69156.7145970081,109771.757534,103672.387575409,131001.449811004,125783.602765536,96845.7100879403,105950.094201653,110588.774423157,80041.1171286631,60906.0721068429,93009.037487281,97106.9056333498,109862.006847666,96733.1501369896,88271.8802995451,100704.574282494,53148.855523036,66370.2513217171
"P51572",52050.7495289751,41179.9570889759,48410.9472673547,28696.186717503,34804.138228475,41507.6196302045,42278.6809078318,23884.3467714039,42261.1063322862,54168.4809045892,40110.432937135,44076.2365838983,36243.2961456438,13067.60480649,30879.4223628599,15225.1989428916,20735.7863338897,40122.2159228242,25250.6043333083,33234.0932188356,29099.8460072969,20066.0692006064,47015.5846540898,38557.2984914718,32166.2357661531,21028.4141131929,18802.0956025094,50508.4315398095,51031.0794532834,25010.2339266965,37685.7479378651,20828.8995660221,19073.957991265,29788.3881166708,37640.3222892878,22153.2112705435,27474.4823739836,36276.7586233393,24844.8331321607,18137.5369828112,39613.132140729,35462.2909181966,26779.2068288398,53959.8038000863,58498.5176001517,24579.8775079379,47153.453533734,29375.3104200492,44608.8364284911,45470.1268516039,29200.7417782737,14362.965375202,12606.3839000021,40449.2817152134,50918.0203502476,32850.9035200967,34190.3310775476,29262.9425570748,35452.3585196742,25331.6494881791,25240.3799638979,37301.8990340158,38148.4796448283,21560.7088232469,37273.5122890832,34109.6829426267,39389.0937722397,36648.1600899327,28811.5579854639
"P32322",32730.9448063442,32655.3694964858,33333.9325789028,28317.0178809009,40243.6738982081,40352.6086368963,39704.4778537692,42390.1933679682,37080.4033040833,47247.4697393364,36558.52742194,48574.545667834,42326.8004945943,41718.2310656665,48139.5166493335,22637.1890675851,23830.0019985884,32252.1639269355,25723.4797209101,33171.7988155233,33688.2082037477,30407.0527427764,43742.1545310035,37093.3034925696,24712.1389383214,33164.376061481,44740.7885588847,38979.2402082107,45160.106921713,48442.3108105401,29712.0402976772,37067.9643778872,35371.3562184051,37381.6790680963,32983.1956293687,33392.4278049911,41002.9480065716,62159.0776268078,43338.7120954818,39585.1897239018,33175.290184664,29388.0562279645,34431.4983649546,50871.3617015172,40604.6645442609,31714.9414895009,34269.7346804352,37861.6289283576,28145.2847420054,34683.5020699252,42791.4734776275,47682.6285024123,25340.7403730962,48805.5339936268,24675.9408026418,48838.7624066644,39746.0606114179,44767.501843928,43355.7657026448,46668.6653048651,45116.7677281876,33036.5263132524,43510.1857590285,30713.388319683,43533.4393210587,29546.6887802507,43293.8137126178,16207.5774312132,36312.0534866588
"Q9NTK5",58850.6316675212,54158.8333105769,52198.6819294084,52585.5325273053,55882.3271513113,48616.5811391769,51508.2895951414,44367.3559334125,44440.1107017175,48388.0958841009,45833.6222171962,35921.558326048,55766.0823648334,49658.4895827988,35969.6976473095,49122.1124634491,53897.7966507911,59408.4008136634,40285.9067816263,58034.8615255265,48020.9950260087,57212.7474533359,55830.9626227297,52187.2008715109,42961.7305607767,33721.2407865499,44380.0724296311,54186.7924303413,49456.8695474179,40537.9449664143,47276.7184568971,41193.4168895671,59671.5898347266,41880.4475228043,52272.7874868877,23633.6518939526,42133.839223081,43022.4653984443,44624.1125004081,51593.0441531934,43388.1166719815,52168.665281095,54068.9647011186,39011.6167113401,56042.1269714764,64039.6652160087,50625.5786908498,53590.7485732214,43546.5363656937,59296.0247050031,43628.0018647613,44546.870640529,46967.4926941743,47536.028576442,57060.9274443148,50607.357144404,30272.3701763506,41285.6891898694,43424.8569307575,52731.3774796712,36442.6766511916,52605.4600206853,58685.8730977256,58061.9607365043,46485.408585053,47210.2462640026,46937.4989494826,42513.4545307862,55842.4352014206
